# Name: Name of the celestial body
# Orbits: The celestial body it orbits around
# Mass(kg): Mass of the celestial body in kilograms
# Diam(m): Diameter of the celestial body in meters
# Perihelion(m): Closest distance to the sun in meters
# Aphelion(m): Farthest distance from the sun in meters
# orbPeriod(days): Orbital period in days
# rotationalPeriod(hours): Rotational period in hours
# axialtilt(deg): Axial tilt in degrees. 
#This is the angle between the celestial body's rotational axis and its orbital axis.
# It indicates how much the body is tilted relative to its orbit around the Sun.
#
# orbinclin(deg): Orbital inclination in degrees.
# This is the angle between the plane of the celestial body's orbit and the plane of the ecliptic (the plane of Earth's orbit around the Sun).
# It indicates how much the orbit is tilted relative to the ecliptic plane.
# Note: The orbital inclination (orbinclin) of the Moon is 5.1 degrees. 
# This angle represents the tilt of the Moon's orbit relative to the ecliptic plane.
# However, this tilt can occur in any direction around the ecliptic plane.
# For example, the tilt could be towards the x-axis (angle 0), towards the y-axis (angle pi/2), or any angle in between.
# In the current simulation, all celestial bodies are aligned, but this could be randomized for more accuracy.
# Another number to consider is the argument of periapsis, which defines the orientation of the orbit within the orbital plane.
# This angle specifies the direction of the closest approach to the central body (e.g., the Sun).
# Implementing this would require additional data and calculations.
# For now, this is documented but not yet implemented in the simulation.
#

#Name        Orbits    Mass(kg)     Diam(m)     Perihelion(m)    Aphelion(m)    orbPeriod(days)    rotationalPeriod(hours)    axialtilt(deg)    orbinclin(deg)
Pallas      Sun       2.11e20      5.44e5      2.133e11         3.142e11       1687               7.8                        34.8              34.8
Juno        Sun       2.67e19      2.33e5      1.979e11         3.475e11       1593               7.2                        12.9              12.9
Vesta       Sun       2.59e20      5.26e5      2.152e11         3.775e11       1325               5.3                        29.0              29.0
Astraea     Sun       2.8e18       1.19e5      2.083e11         3.746e11       1517               5.4                        5.4               5.4
Hebe        Sun       1.28e19      1.85e5      1.944e11         3.736e11       1370               7.3                        15.5              15.5
Iris        Sun       1.52e19      2.00e5      1.832e11         3.736e11       1345               7.1                        5.5               5.5
Flora       Sun       1.35e19      1.40e5      1.835e11         3.376e11       1194               7.3                        5.9               5.9
Metis       Sun       1.25e18      1.90e5      1.914e11         3.736e11       1350               5.1                        5.6               5.6
Hygiea      Sun       8.67e19      4.30e5      2.941e11         4.376e11       2034               13.8                       3.8               3.8
Eunomia     Sun       3.12e19      2.55e5      2.295e11         3.736e11       1568               6.1                        11.7              11.7
Psyche      Sun       2.41e19      2.53e5      2.922e11         4.376e11       1825               4.2                        3.1               3.1
Thisbe      Sun       1.19e19      2.00e5      2.922e11         4.376e11       1825               5.1                        5.1               5.1
Melpomene   Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Fortuna     Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Victoria    Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Egeria      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Irene       Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Eunike      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Euphrosyne  Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Pomona      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Polymnia    Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Doris       Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Eugenia     Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Hestia      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Aglaja      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Freia       Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Harmonia    Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Laetitia    Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Leda        Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Lachesis    Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Terpsichore Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Erato       Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Urania      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Euterpe     Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Thalia      Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
Melpomene   Sun       1.35e19      1.40e5      2.922e11         4.376e11       1825               7.3                        5.9               5.9
